SWE,ESP,2019,11,1328
DNK,ESP,2019,10,1138
FIN,ESP,2019,10,1138
ISL,ESP,2019,10,1138
NOR,ESP,2019,10,1138
SWE,ESP,2019,10,1138
DNK,ESP,2019,9,1070
FIN,ESP,2019,9,1070
ISL,ESP,2019,9,1070
NOR,ESP,2019,9,1070
SWE,ESP,2019,9,1070
DNK,ESP,2019,8,1378
FIN,ESP,2019,8,1378
ISL,ESP,2019,8,1378
NOR,ESP,2019,8,1378
SWE,ESP,2019,8,1378
DNK,ESP,2019,7,1328
FIN,ESP,2019,7,1328
ISL,ESP,2019,7,1328
NOR,ESP,2019,7,1328
SWE,ESP,2019,7,1328
DNK,ESP,2019,6,1122
FIN,ESP,2019,6,1122
ISL,ESP,2019,6,1122
NOR,ESP,2019,6,1122
SWE,ESP,2019,6,1122
DNK,ESP,2019,5,1070
FIN,ESP,2019,5,1070
ISL,ESP,2019,5,1070
NOR,ESP,2019,5,1070
SWE,ESP,2019,5,1070
DNK,ESP,2019,4,1247
FIN,ESP,2019,4,1247
ISL,ESP,2019,4,1247
NOR,ESP,2019,4,1247
SWE,ESP,2019,4,1247
DNK,ESP,2019,3,1297
FIN,ESP,2019,3,1297
ISL,ESP,2019,3,1297
NOR,ESP,2019,3,1297
SWE,ESP,2019,3,1297
DNK,ESP,2019,2,1143
FIN,ESP,2019,2,1143
ISL,ESP,2019,2,1143
NOR,ESP,2019,2,1143
SWE,ESP,2019,2,1143
DNK,ESP,2019,1,1244
FIN,ESP,2019,1,1244
ISL,ESP,2019,1,1244
NOR,ESP,2019,1,1244
SWE,ESP,2019,1,1244
,ESP,2022,2,1369
,ESP,2022,1,1331
,ESP,2021,12,1423
,ESP,2021,11,1258
,ESP,2021,10,1247
,ESP,2021,9,1185
,ESP,2021,8,1255
,ESP,2021,7,1359
,ESP,2021,6,1315
,ESP,2021,5,1222
,ESP,2021,4,1180
,ESP,2021,3,1299
,ESP,2021,2,1365
,ESP,2021,1,1260
,ESP,2020,12,1299
,ESP,2020,11,1140
,ESP,2020,10,1070
,ESP,2020,9,999
,ESP,2020,8,1221
,ESP,2020,7,1214
,ESP,2020,6,737
,ESP,2020,5,0
,ESP,2020,4,0
,ESP,2020,3,1334
,ESP,2020,2,1311
,ESP,2020,1,1369
,ESP,2019,12,1443
,ESP,2019,11,1308
,ESP,2019,10,1352
,ESP,2019,9,1308
,ESP,2019,8,1375
,ESP,2019,7,1458
,ESP,2019,6,1367
,ESP,2019,5,1298
,ESP,2019,4,1209
,ESP,2019,3,1283
,ESP,2019,2,1336
,ESP,2019,1,1335
DEU,ESP,2022,2,1259
DEU,ESP,2022,1,1410
DEU,ESP,2021,12,1217
DEU,ESP,2021,11,1231
DEU,ESP,2021,10,1165
DEU,ESP,2021,9,1152
DEU,ESP,2021,8,1127
DEU,ESP,2021,7,1210
DEU,ESP,2021,6,1110
DEU,ESP,2021,5,1059
DEU,ESP,2021,4,1046
DEU,ESP,2021,3,1124
DEU,ESP,2021,2,1260
DEU,ESP,2021,1,1148
DEU,ESP,2020,12,1291
DEU,ESP,2020,11,1135
DEU,ESP,2020,10,1044
DEU,ESP,2020,9,1022
DEU,ESP,2020,8,1102
DEU,ESP,2020,7,1057
DEU,ESP,2020,6,896
DEU,ESP,2020,5,0
DEU,ESP,2020,4,0
DEU,ESP,2020,3,1049
DEU,ESP,2020,2,1092
DEU,ESP,2020,1,1155
DEU,ESP,2019,12,1153
DEU,ESP,2019,11,1088
DEU,ESP,2019,10,1057
DEU,ESP,2019,9,1037
DEU,ESP,2019,8,1148
DEU,ESP,2019,7,1131
DEU,ESP,2019,6,996
DEU,ESP,2019,5,951
DEU,ESP,2019,4,960
DEU,ESP,2019,3,1018
DEU,ESP,2019,2,1030
DEU,ESP,2019,1,1064
FRA,ESP,2022,2,748
FRA,ESP,2022,1,733
FRA,ESP,2021,12,662
FRA,ESP,2021,11,705
FRA,ESP,2021,10,683
FRA,ESP,2021,9,757
FRA,ESP,2021,8,918
FRA,ESP,2021,7,813
FRA,ESP,2021,6,688
FRA,ESP,2021,5,654
FRA,ESP,2021,4,771
FRA,ESP,2021,3,723
FRA,ESP,2021,2,690
FRA,ESP,2021,1,570
FRA,ESP,2020,12,556
FRA,ESP,2020,11,564
FRA,ESP,2020,10,506
FRA,ESP,2020,9,611
FRA,ESP,2020,8,734
FRA,ESP,2020,7,628
FRA,ESP,2020,6,451
FRA,ESP,2020,5,0
FRA,ESP,2020,4,0
FRA,ESP,2020,3,569
FRA,ESP,2020,2,615
FRA,ESP,2020,1,618
FRA,ESP,2019,12,635
FRA,ESP,2019,11,601
FRA,ESP,2019,10,639
FRA,ESP,2019,9,718
FRA,ESP,2019,8,784
FRA,ESP,2019,7,751
FRA,ESP,2019,6,688
FRA,ESP,2019,5,647
FRA,ESP,2019,4,587
FRA,ESP,2019,3,634
FRA,ESP,2019,2,607
FRA,ESP,2019,1,597
ITA,ESP,2022,2,828
ITA,ESP,2022,1,834
ITA,ESP,2021,12,962
ITA,ESP,2021,11,770
ITA,ESP,2021,10,818
ITA,ESP,2021,9,856
ITA,ESP,2021,8,1009
ITA,ESP,2021,7,874
ITA,ESP,2021,6,832
ITA,ESP,2021,5,802
ITA,ESP,2021,4,985
ITA,ESP,2021,3,751
ITA,ESP,2021,2,845
ITA,ESP,2021,1,814
ITA,ESP,2020,12,797
ITA,ESP,2020,11,733
ITA,ESP,2020,10,803
ITA,ESP,2020,9,757
ITA,ESP,2020,8,923
ITA,ESP,2020,7,837
ITA,ESP,2020,6,702
ITA,ESP,2020,5,0
ITA,ESP,2020,4,0
ITA,ESP,2020,3,736
ITA,ESP,2020,2,775
ITA,ESP,2020,1,778
ITA,ESP,2019,12,773
ITA,ESP,2019,11,702
ITA,ESP,2019,10,723
ITA,ESP,2019,9,852
ITA,ESP,2019,8,952
ITA,ESP,2019,7,940
ITA,ESP,2019,6,734
ITA,ESP,2019,5,643
ITA,ESP,2019,4,660
ITA,ESP,2019,3,732
ITA,ESP,2019,2,700
ITA,ESP,2019,1,743
